product_id,vendor,product_name,mode,checklist_version,assessed_at,1.1,1.1_conf,1.1_ev,1.2,1.2_conf,1.2_ev,1.3,1.3_conf,1.3_ev,1.4,1.4_conf,1.4_ev,1.5,1.5_conf,1.5_ev,2.1,2.1_conf,2.1_ev,2.2,2.2_conf,2.2_ev,2.3,2.3_conf,2.3_ev,2.4,2.4_conf,2.4_ev,2.5,2.5_conf,2.5_ev,3.1,3.1_conf,3.1_ev,3.2,3.2_conf,3.2_ev,3.3,3.3_conf,3.3_ev,3.4,3.4_conf,3.4_ev,3.5,3.5_conf,3.5_ev,4.1,4.1_conf,4.1_ev,4.2,4.2_conf,4.2_ev,4.3,4.3_conf,4.3_ev,4.4,4.4_conf,4.4_ev,4.5,4.5_conf,4.5_ev,5.1,5.1_conf,5.1_ev,5.2,5.2_conf,5.2_ev,5.3,5.3_conf,5.3_ev,5.4,5.4_conf,5.4_ev,6.1,6.1_conf,6.1_ev,6.2,6.2_conf,6.2_ev,6.3,6.3_conf,6.3_ev,6.4,6.4_conf,6.4_ev,7.1,7.1_conf,7.1_ev,7.2,7.2_conf,7.2_ev,7.3,7.3_conf,7.3_ev,8.1,8.1_conf,8.1_ev,8.2,8.2_conf,8.2_ev
akamai-guardicore-segmentation,Akamai Technologies (Guardicore),Akamai Guardicore Segmentation,standard,1,2026-08-10T07:42:31Z,Y,high,5,Y,high,4,P,medium,4,P,medium,2,Y,medium,3,Y,high,4,Y,medium,3,Y,medium,4,Y,medium,1,P,medium,4,Y,medium,4,Y,medium,4,Y,high,5,Y,medium,4,Y,medium,3,P,medium,3,P,medium,2,P,medium,3,P,medium,3,Y,medium,2,Y,medium,4,Y,medium,4,Y,medium,3,Y,medium,3,Y,high,4,Y,high,4,P,medium,6,P,medium,3,Y,medium,4,Y,medium,3,Y,medium,3,N,medium,1,?,low,0
algosec-horizon,AlgoSec,AlgoSec Horizon (Horizon Security Analyzer / FireFlow / AppViz / ACE),standard,1,2026-08-10T11:24:19Z,Y,high,5,P,medium,3,N,medium,3,Y,medium,3,Y,medium,2,P,medium,4,Y,medium,3,Y,medium,3,P,medium,2,Y,medium,3,-,medium,2,P,medium,4,P,medium,2,P,medium,3,?,low,0,-,medium,2,-,medium,1,-,medium,2,-,medium,1,-,medium,1,P,medium,3,Y,medium,3,P,medium,3,Y,medium,3,-,medium,2,P,medium,3,P,medium,4,P,medium,3,Y,medium,3,P,medium,2,Y,medium,2,?,low,0,?,low,0
appviewx-avx-one,AppViewX,AppViewX AVX ONE (AVX Platform),standard,1,2026-08-10T15:30:00Z,N,medium,3,P,medium,3,?,low,0,?,low,0,N,medium,2,N,medium,3,P,medium,3,?,low,0,?,low,0,?,low,0,P,medium,3,P,medium,3,P,medium,3,P,medium,3,P,medium,2,-,medium,2,-,medium,2,-,medium,2,-,medium,2,-,medium,2,P,medium,4,P,medium,3,P,medium,3,Y,high,4,-,medium,3,?,low,0,P,medium,3,-,medium,2,Y,medium,2,-,medium,2,?,low,0,P,medium,3,?,low,0
arista-cloudvision-mss,Arista Networks,Arista CloudVision MSS (Multi-Domain Segmentation Service),standard,1,2026-08-10T14:12:24Z,Y,high,3,P,medium,3,P,medium,2,?,low,0,Y,high,3,Y,high,4,Y,medium,3,P,medium,3,P,medium,3,?,low,0,P,medium,2,?,low,0,P,high,4,P,medium,2,P,medium,2,-,medium,2,-,medium,2,P,medium,3,-,medium,2,-,medium,2,Y,medium,4,Y,medium,3,P,medium,2,Y,medium,4,N,medium,2,P,medium,3,P,medium,3,-,medium,2,Y,medium,2,Y,medium,2,?,low,0,P,medium,3,?,low,0
armis-centrix,Armis (Armis from ServiceNow),Armis Centrix (Cyber Exposure Management platform),standard,1,2026-08-10T09:30:00Z,Y,medium,5,P,medium,3,P,medium,1,P,medium,2,Y,medium,3,Y,medium,3,Y,medium,2,P,medium,2,?,low,0,?,low,0,P,medium,3,P,medium,3,P,medium,3,Y,medium,3,P,medium,2,Y,medium,2,Y,medium,2,Y,medium,3,Y,medium,2,Y,medium,2,Y,medium,3,Y,high,5,Y,medium,4,P,medium,2,N,medium,2,Y,medium,3,P,medium,4,P,medium,2,P,medium,3,?,low,0,?,low,0,P,medium,3,P,medium,2
aruba-dynamic-segmentation-clearpass,HPE Aruba Networking,Aruba Dynamic Segmentation / ClearPass (ClearPass Policy Manager + Aruba Central NetConductor),standard,1,2026-08-10T17:11:29Z,P,medium,3,?,low,0,?,low,0,?,low,0,P,medium,3,Y,high,6,P,medium,1,?,low,0,?,low,0,?,low,0,P,medium,2,?,low,0,Y,high,3,P,medium,2,P,medium,3,?,low,0,?,low,0,?,low,0,?,low,0,?,low,0,P,medium,2,P,medium,2,?,low,0,?,low,0,?,low,0,P,medium,2,?,low,0,P,medium,3,P,medium,1,?,low,0,P,medium,1,P,medium,4,?,low,0
blastshield,BlastWave,BlastShield,standard,1,2026-08-10T16:55:35Z,P,medium,3,P,medium,3,P,medium,3,N,medium,2,P,medium,2,Y,medium,5,?,low,0,?,low,0,?,low,0,?,low,0,P,medium,3,P,medium,3,Y,medium,3,Y,medium,3,P,medium,3,?,low,0,Y,medium,2,?,low,0,Y,medium,3,Y,medium,2,Y,medium,4,Y,high,4,?,low,0,P,medium,2,N,medium,2,P,medium,2,P,medium,5,Y,medium,4,Y,medium,4,Y,medium,3,P,medium,3,P,medium,3,?,low,0
cato-sase-cloud,Cato Networks,Cato SASE Cloud,standard,1,2026-08-10T12:00:00Z,Y,medium,4,P,medium,3,Y,medium,4,P,low,1,P,medium,3,Y,medium,4,Y,medium,3,P,medium,2,P,medium,1,Y,medium,3,P,medium,4,?,low,0,Y,medium,4,?,low,0,P,medium,3,P,medium,1,P,medium,1,P,medium,2,P,medium,2,P,medium,2,P,medium,4,Y,medium,4,P,medium,1,Y,medium,2,P,medium,2,P,medium,2,P,medium,4,P,medium,3,Y,high,5,Y,medium,2,P,medium,2,N,medium,2,?,low,0
check-point-quantum-cloudguard,Check Point Software Technologies,Check Point Quantum / CloudGuard,standard,1,2026-08-10T11:43:30Z,P,medium,6,P,medium,3,P,medium,2,P,medium,3,P,medium,2,Y,medium,5,P,medium,2,?,low,0,P,medium,2,Y,medium,3,P,medium,4,Y,medium,3,Y,medium,3,?,low,0,P,medium,3,-,medium,2,-,medium,2,P,medium,1,-,medium,2,-,medium,2,P,medium,3,Y,medium,4,Y,medium,3,Y,medium,3,?,low,0,P,medium,3,P,medium,3,P,medium,2,Y,medium,4,?,low,0,?,low,0,P,high,4,?,low,0
cisco-secure-workload-tetration,Cisco Systems,Cisco Secure Workload (Tetration),standard,1,2026-08-10T08:55:00Z,Y,high,4,Y,medium,4,?,low,0,Y,medium,3,Y,medium,3,Y,high,4,Y,high,4,Y,high,3,?,low,0,Y,high,4,P,medium,4,Y,high,4,Y,high,5,P,medium,3,P,medium,3,?,low,0,P,medium,1,?,low,0,Y,high,3,P,medium,2,Y,medium,4,P,medium,2,Y,high,2,Y,medium,4,Y,medium,4,P,medium,3,P,medium,3,?,low,0,P,medium,3,Y,medium,1,P,medium,3,?,low,0,?,low,0
