product_id,vendor,product_name,mode,items_assessed,supported,partial,not_supported,unknown,not_applicable,confidence_high,confidence_medium,confidence_low,vendor_only_items,triangulated_items,weighted_score,max_score,absolute_pct,applicable_pct
akamai-guardicore-segmentation,Akamai Technologies (Guardicore),Akamai Guardicore Segmentation,standard,33,22,9,1,1,0,6,26,1,12,20,21.38,33,64.8,64.8
algosec-horizon,AlgoSec,AlgoSec Horizon (Horizon Security Analyzer / FireFlow / AppViz / ACE),standard,33,10,12,1,3,7,1,29,3,24,13,12.25,33,37.1,47.1
appviewx-avx-one,AppViewX,AppViewX AVX ONE (AVX Platform),standard,33,2,12,3,8,8,1,24,8,14,10,6.25,33,18.9,25.0
arista-cloudvision-mss,Arista Networks,Arista CloudVision MSS (Multi-Domain Segmentation Service),standard,33,9,13,1,5,5,4,24,5,14,14,12.5,33,37.9,44.6
armis-centrix,Armis (Armis from ServiceNow),Armis Centrix (Cyber Exposure Management platform),standard,33,14,14,1,4,0,1,28,4,20,13,16.0,33,48.5,48.5
aruba-dynamic-segmentation-clearpass,HPE Aruba Networking,Aruba Dynamic Segmentation / ClearPass (ClearPass Policy Manager + Aruba Central NetConductor),standard,33,2,13,0,18,0,2,13,18,0,4,6.88,33,20.8,20.8
blastshield,BlastWave,BlastShield,standard,33,11,12,2,8,0,1,24,8,9,13,13.0,33,39.4,39.4
cato-sase-cloud,Cato Networks,Cato SASE Cloud,standard,33,10,19,1,3,0,1,28,4,29,11,14.75,33,44.7,44.7
check-point-quantum-cloudguard,Check Point Software Technologies,Check Point Quantum / CloudGuard,standard,33,8,15,0,6,4,1,26,6,17,12,11.75,33,35.6,40.5
cisco-secure-workload-tetration,Cisco Systems,Cisco Secure Workload (Tetration),standard,33,16,10,0,7,0,9,17,7,7,16,18.0,33,54.5,54.5
claroty-xdome-ctd,Claroty,Claroty xDome / Continuous Threat Detection (CTD),standard,33,13,9,1,6,4,8,19,6,11,21,15.12,33,45.8,52.2
cloudflare-one,Cloudflare,Cloudflare One,standard,33,7,15,2,9,0,1,23,9,19,4,11.12,33,33.7,33.7
colortokens-xshield,ColorTokens,ColorTokens Xshield,standard,33,17,12,1,3,0,8,22,3,16,21,19.25,33,58.3,58.3
