product_id,vendor,product_name,mode,1_weighted,1_max,1_raw,2_weighted,2_max,2_raw,3_weighted,3_max,3_raw,4_weighted,4_max,4_raw,5_weighted,5_max,5_raw,6_weighted,6_max,6_raw,7_weighted,7_max,7_raw,8_weighted,8_max,8_raw,total_weighted,total_max,total_raw,items_excluded,absolute_pct,applicable_pct
akamai-guardicore-segmentation,Akamai Technologies (Guardicore),Akamai Guardicore Segmentation,standard,3.5,5,4.0,3.62,5,4.5,4.0,5,5.0,2.25,5,3.0,3.0,4,4.0,2.75,4,3.0,2.25,3,3.0,0.0,2,0.0,21.38,33,26.5,0,64.8,64.8
algosec-horizon,AlgoSec,AlgoSec Horizon (Horizon Security Analyzer / FireFlow / AppViz / ACE),standard,2.88,5,3.5,3.0,5,4.0,1.12,5,1.5,0.0,5,0.0,2.25,4,3.0,1.12,4,1.5,1.88,3,2.5,0.0,2,0.0,12.25,33,16.0,7,37.1,47.1
appviewx-avx-one,AppViewX,AppViewX AVX ONE (AVX Platform),standard,0.38,5,0.5,0.38,5,0.5,1.88,5,2.5,0.0,5,0.0,2.12,4,2.5,0.38,4,0.5,0.75,3,1.0,0.38,2,0.5,6.25,33,8.0,8,18.9,25.0
arista-cloudvision-mss,Arista Networks,Arista CloudVision MSS (Multi-Domain Segmentation Service),standard,2.75,5,3.0,2.5,5,3.0,1.62,5,2.0,0.38,5,0.5,2.62,4,3.5,0.75,4,1.0,1.5,3,2.0,0.38,2,0.5,12.5,33,15.5,5,37.9,44.6
armis-centrix,Armis (Armis from ServiceNow),Armis Centrix (Cyber Exposure Management platform),standard,2.62,5,3.5,1.88,5,2.5,2.25,5,3.0,3.75,5,5.0,2.88,4,3.5,1.5,4,2.0,0.38,3,0.5,0.75,2,1.0,16.0,33,21.0,0,48.5,48.5
aruba-dynamic-segmentation-clearpass,HPE Aruba Networking,Aruba Dynamic Segmentation / ClearPass (ClearPass Policy Manager + Aruba Central NetConductor),standard,0.75,5,1.0,1.38,5,1.5,2.12,5,2.5,0.0,5,0.0,0.75,4,1.0,0.75,4,1.0,0.75,3,1.0,0.38,2,0.5,6.88,33,8.5,0,20.8,20.8
blastshield,BlastWave,BlastShield,standard,1.5,5,2.0,0.75,5,1.0,2.62,5,3.5,2.25,5,3.0,2.12,4,2.5,1.5,4,2.0,1.88,3,2.5,0.38,2,0.5,13.0,33,17.0,0,39.4,39.4
cato-sase-cloud,Cato Networks,Cato SASE Cloud,standard,2.5,5,3.5,3.0,5,4.0,1.5,5,2.0,1.88,5,2.5,2.25,4,3.0,1.5,4,2.0,2.12,3,2.5,0.0,2,0.0,14.75,33,19.5,0,44.7,44.7
check-point-quantum-cloudguard,Check Point Software Technologies,Check Point Quantum / CloudGuard,standard,1.88,5,2.5,2.25,5,3.0,2.25,5,3.0,0.38,5,0.5,2.62,4,3.5,1.12,4,1.5,0.75,3,1.0,0.5,2,0.5,11.75,33,15.5,4,35.6,40.5
cisco-secure-workload-tetration,Cisco Systems,Cisco Secure Workload (Tetration),standard,3.25,5,4.0,4.0,5,4.0,3.12,5,3.5,1.75,5,2.0,2.88,4,3.5,1.5,4,2.0,1.5,3,2.0,0.0,2,0.0,18.0,33,21.0,0,54.5,54.5
