Bảng tổng quan danh mục nhà cung cấp (Microsegmentation Vendors),,,,,,,,
STT,Company,Country,Founded,Product,product_id,Product Category,Website,Short Description
1,Zero Networks,Israel,2019,Zero Networks Segment,zero-networks-segment,Automated Microsegmentation & Identity,https://zeronetworks.com,"Cung cấp giải pháp vi phân vùng tự động không cần agent, áp dụng xác thực đa yếu tố Just-In-Time cho các kết nối đặc quyền và cô lập mối đe dọa."
2,Akamai Technologies (Guardicore),Mỹ,2013,Akamai Guardicore Segmentation,akamai-guardicore-segmentation,Software-Based Microsegmentation,https://www.akamai.com,"Công nghệ gốc Israel (Guardicore) cung cấp giải pháp vi phân vùng dựa trên phần mềm, hiển thị chi tiết lưu lượng và ngăn chặn sự dịch chuyển ngang trong môi trường hybrid."
3,AlgoSec,Israel,2004,AlgoSec Horizon,algosec-horizon,Network Security Policy Management & Microsegmentation,https://www.algosec.com,"Nền tảng phân tích và tự động hóa chính sách an ninh mạng, hỗ trợ thiết kế và thực thi vi phân vùng cho môi trường mạng lai."
4,Tufin,Israel,2005,Tufin Orchestration Suite,tufin-orchestration-suite,Security Policy Orchestration & Microsegmentation,https://www.tufin.com,Giải pháp tự động hóa chính sách an toàn thông tin và vi phân vùng trên hạ tầng mạng đa nhà cung cấp và đa nền tảng đám mây.
5,Faddom,Israel,2015,Faddom Hybrid Cloud Mapping,faddom-hybrid-cloud-mapping,Application Dependency Mapping & Microsegmentation,https://faddom.com,"Cung cấp giải pháp lập bản đồ phụ thuộc ứng dụng không dùng agent, hỗ trợ phân tích luồng kết nối phục vụ dự án vi phân vùng."
6,Cato Networks,Israel,2015,Cato SASE Cloud,cato-sase-cloud,SASE & Network Segmentation,https://www.catonetworks.com,Nền tảng SASE đám mây tích hợp các tính năng tường lửa thế hệ mới và vi phân vùng mạng doanh nghiệp dựa trên định danh.
7,Check Point Software Technologies,Israel,1993,Check Point Quantum / CloudGuard,check-point-quantum-cloudguard,Network Security & Microsegmentation,https://www.checkpoint.com,"Cung cấp dải giải pháp an ninh mạng toàn diện bao gồm vi phân vùng mạng nội bộ, trung tâm dữ liệu và môi trường hybrid cloud."
8,Claroty,Israel,2015,Claroty xDome / CTD,claroty-xdome-ctd,OT/IoT Microsegmentation & Visibility,https://claroty.com,"Nền tảng bảo vệ hệ thống cyber-physical (OT/IoT/BMS), hỗ trợ tự động đề xuất và thực thi chính sách vi phân vùng cho mạng công nghiệp."
9,Armis,Israel,2015,Armis Centrix,armis-centrix,Asset Intelligence & Microsegmentation Enforcement,https://www.armis.com,"Nền tảng quản lý tài sản và đánh giá rủi ro thiết bị kết nối, hỗ trợ thực thi vi phân vùng cho IT, OT, IoT và thiết bị y tế IoMT."
10,Radiflow,Israel,2011,iSocio / CiARA,isocio-ciara,OT/ICS Network Security & Microsegmentation,https://radiflow.com,Cung cấp các giải pháp an toàn thông tin OT/ICS bao gồm giám sát lưu lượng và tạo chính sách vi phân vùng mạng công nghiệp.
11,NanoLock Security,Israel,2016,NanoLock ZeroTrust OT Security,nanolock-zerotrust-ot-security,Device-Level Microsegmentation,https://www.nanolocksec.com,Cung cấp giải pháp vi phân vùng và bảo vệ mức thiết bị cho môi trường OT và cơ sở hạ tầng trọng yếu nhằm ngăn chặn can thiệp trái phép.
12,OTORIO,Israel,2018,OTORIO Titan,otorio-titan,OT Risk Management & Segmentation Architecture,https://www.otorio.com,Nền tảng quản trị rủi ro an toàn thông tin OT và thiết kế kiến trúc vi phân vùng tối ưu cho nhà máy thông minh và mạng công nghiệp.
13,Cyolo,Israel,2019,Cyolo PRO,cyolo-pro,Secure Remote Access & Microsegmentation,https://cyolo.io,Nền tảng truy cập từ xa an toàn tích hợp khả năng phân vùng và kiểm soát quyền truy cập tối thiểu cho môi trường IT và OT.
14,Illumio,Mỹ,2013,Illumio Zero Trust Segmentation,illumio-zero-trust-segmentation,Dedicated Microsegmentation Platform,https://www.illumio.com,"Nền tảng Zero Trust Segmentation chuyên biệt giúp cô lập mối đe dọa và ngăn chặn mã độc lây lan trong Data Center, Cloud và Endpoint."
15,Elisity,Mỹ,2019,Elisity Digital,elisity-digital,Identity-Based Microsegmentation,https://www.elisity.com,"Cung cấp giải pháp vi phân vùng dựa trên định danh (identity-based) cho thiết bị IT, IoT và OT tận dụng hạ tầng mạng chuyển mạch sẵn có."
16,ColorTokens,Mỹ,2015,ColorTokens Xshield,colortokens-xshield,Enterprise Microsegmentation,https://colortokens.com,"Nền tảng vi phân vùng đám mây và điểm cuối giúp quản lý vị trí, hiển thị và kiểm soát lưu lượng giữa các ứng dụng."
17,TrueFort,Mỹ,2015,TrueFort Fortress,truefort-fortress,Application Behavior & Microsegmentation,https://truefort.com,Cung cấp giải pháp vi phân vùng dựa trên phân tích hành vi ứng dụng thời gian thực cho Data Center và Hybrid Cloud.
18,Ordr,Mỹ,2015,Ordr Systems Control Engine (SCE),ordr-systems-control-engine-sce,Connected Device Microsegmentation,https://ordr.net,"Giải pháp tự động phát hiện, phân loại và triển khai chính sách vi phân vùng cho các thiết bị IoT, OT và y tế kết nối."
19,VMware (by Broadcom),Mỹ,1998,VMware vDefend Firewall (NSX),vmware-vdefend-firewall-nsx,Software-Defined Microsegmentation,https://www.vmware.com,Cung cấp giải pháp tường lửa phân tán và vi phân vùng bằng phần mềm tích hợp trực tiếp trong hạ tầng ảo hóa VMware.
20,Cisco Systems,Mỹ,1984,Cisco Secure Workload (Tetration),cisco-secure-workload-tetration,Application-Centric Microsegmentation,https://www.cisco.com,Cung cấp giải pháp bảo vệ workload và vi phân vùng tự động cho ứng dụng đa đám mây và trung tâm dữ liệu.
21,Palo Alto Networks,Mỹ,2005,Prisma Cloud / Next-Gen Firewalls,prisma-cloud-next-gen-firewalls,Network & Cloud Microsegmentation,https://www.paloaltonetworks.com,Cung cấp các tính năng vi phân vùng qua tường lửa thế hệ mới và kiểm soát an toàn ứng dụng container/cloud.
22,Nutanix,Mỹ,2009,Nutanix Flow Network Security,nutanix-flow-network-security,Hypervisor-Native Microsegmentation,https://www.nutanix.com,Cung cấp giải pháp an toàn mạng và vi phân vùng tích hợp sẵn trên nền tảng hạ tầng siêu hội tụ Nutanix AHV.
23,Fortinet,Mỹ,2000,FortiGate / FortiFlex Microsegmentation,fortigate-fortiflex-microsegmentation,Network & Virtualization Microsegmentation,https://www.fortinet.com,Cung cấp giải pháp vi phân vùng mạng qua tường lửa ảo và thiết bị FortiGate hỗ trợ môi trường doanh nghiệp và hạ tầng OT.
24,Zscaler,Mỹ,2007,Zscaler Zero Trust Exchange,zscaler-zero-trust-exchange,Cloud & Workload Segmentation,https://www.zscaler.com,"Nền tảng Zero Trust cô lập kết nối giữa người dùng, ứng dụng và máy chủ, áp dụng vi phân vùng đám mây và cô lập ransomware."
25,Juniper Networks,Mỹ,1996,Juniper Connected Security / vSRX,juniper-connected-security-vsrx,Software-Defined Microsegmentation,https://www.juniper.net,Cung cấp giải pháp vi phân vùng phần mềm và thực thi chính sách an toàn mạng cho môi trường doanh nghiệp và cloud.
26,Arista Networks,Mỹ,2004,Arista CloudVision MSS,arista-cloudvision-mss,Network-Enforced Microsegmentation,https://www.arista.com,Cung cấp giải pháp Macro/Microsegmentation tích hợp ở cấp độ hạ tầng chuyển mạch trung tâm dữ liệu.
27,Unisys,Mỹ,1986,Unisys Stealth,unisys-stealth,Zero Trust Microsegmentation,https://www.unisys.com,Cung cấp giải pháp bảo mật dựa trên phần mềm mã hóa và vi phân vùng nhằm ẩn tài sản mạng khỏi các truy cập không hợp lệ.
